round,method,task,worker,fairness-pairwise,avg-quality,avg-utility
1,heuristic,40,160,0.8928125,1.5508618316500509,0.6790624999999998
2,max-cover,40,160,0.72359375,1.904010860716436,0.540625
2,budget,40,160,0.95578125,1.8790200405692328,0.75859375
2,heuristic,40,160,0.90515625,1.8762208888581795,0.6693749999999999
3,max-cover,40,160,0.731875,1.292916145770365,0.5553124999999999
3,budget,40,160,0.97609375,1.268361909614347,0.8379687499999997
3,heuristic,40,160,0.908125,1.2829350295344149,0.7101562499999997
4,max-cover,40,160,0.6353125,0.986575420700084,0.4807812499999999
4,budget,40,160,0.9596875,0.9817850361892194,0.7792187499999997
4,heuristic,40,160,0.86234375,0.9812304199418652,0.6356249999999997
5,max-cover,4,80,0.428125,2.502511366451162,0.1125
5,budget,4,80,0.99375,3.1090098212327524,0.175
5,heuristic,4,80,0.996875,3.011519473643532,0.15625
6,max-cover,4,80,0.75625,4.398883975194503,0.15
6,budget,4,80,0.909375,5.33056486642047,0.18125
6,heuristic,4,80,0.996875,5.345562967007932,0.153125
7,max-cover,4,80,0.353125,2.309759737477973,0.1125
7,budget,4,80,0.984375,2.79035869625855,0.18125
7,heuristic,4,80,0.975,2.7541822360153967,0.18125
5,max-cover,4,160,0.56875,10.65032258408085,0.065625
5,budget,4,160,0.878125,12.076298797900517,0.0875
5,heuristic,4,160,0.996875,13.030503262786848,0.08125
8,max-cover,4,80,0.640625,2.881161473191479,0.153125
8,budget,4,80,0.8125,3.0223931542645133,0.18125
8,heuristic,4,80,0.996875,3.0068561742018165,0.184375
6,max-cover,4,160,0.8265625,5.022411577073339,0.0703125
6,budget,4,160,0.7484375,6.115550609834353,0.0921875
6,heuristic,4,160,0.990625,5.710672741459017,0.0609375
9,max-cover,4,80,0.546875,2.740658506067099,0.134375
9,budget,4,80,0.8625,3.189026028056324,0.178125
9,heuristic,4,80,0.996875,3.673717562957311,0.175
7,max-cover,4,160,0.8890625,6.7263015294576585,0.0921875
7,budget,4,160,0.6546875,7.132518845438815,0.0890625
7,heuristic,4,160,0.9953125,7.295876317662145,0.0671875
5,max-cover,8,80,0.69375,4.702145483149643,0.2828125
